"","subid","condition","gender","age","beliefGod","education","politicalIdeology","maritalStatus","children","beliefAfterlife","gerald_schiff_pvs","toby_chimp","fetus","god","delores_gleitman_deceased","sharon_harvey_woman","green_frog","todd_billingsley_man","charlie_dog","nicholas_gannon_baby","samantha_hill_girl","kismet_robot","you"
"1","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",-2,0,0,2,-2,2,0,-2,-1,1,-2,-1,2
"2","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",1,-2,-2,2,-2,2,-2,2,-2,-2,2,-2,2
"3","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",-2,-2,0,2,-2,2,-2,2,0,-2,-2,0,2
"4","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",-2,0,0,2,-2,2,0,-2,-2,0,-2,-2,2
"5","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",0,0,-2,2,-1,2,0,2,-2,-1,2,-2,2
"6","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",1,-2,-1,2,-1,2,-2,2,0,0,2,0,2
"7","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",1,-1,-2,2,-2,2,-2,2,0,0,2,0,2
"8","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",1,-2,0,2,0,2,0,2,1,0,2,-2,2
"9","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",-1,0,-2,0,0,-2,-1,2,1,1,2,0,2
"10","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",0,-2,0,-2,-1,2,-1,2,-2,-2,1,0,2
"11","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",-2,0,0,2,0,-2,0,2,0,1,-2,0,-2
"12","S011","Morality","male",28,"agree_strong","college_bachDegree","independent","no",0,"agree_little",1,0,-2,2,0,2,-2,2,-2,-2,2,-2,2
"13","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",-2,0,-2,-1,-2,2,0,0,0,2,0,1,-1
"14","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",1,-2,-1,0,-2,0,-1,2,2,0,0,2,-2
"15","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",1,0,1,-2,0,2,0,2,0,-1,1,-1,-2
"16","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",1,-1,2,-2,-2,2,0,1,0,2,2,-2,-2
"17","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",-1,2,1,-2,-2,2,-1,1,1,1,2,-1,0
"18","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",-1,0,-2,-2,-2,2,-1,1,0,0,1,-2,-2
"19","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",2,2,0,-1,-2,2,-2,2,-2,-2,0,-1,-1
"20","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",1,2,1,0,0,2,2,-1,-1,2,1,-1,-1
"21","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",1,2,2,-2,-2,2,1,2,-2,1,2,-1,0
"22","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",2,1,1,-1,-2,1,-1,2,1,1,-2,0,-2
"23","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",-1,-2,-2,-2,0,2,2,2,1,-1,1,-2,-1
"24","S012","Hunger","male",31,"agree_moderate","college_assocDegree","democrat","no_commited",2,"disagree_strong",-1,-1,1,-1,-1,2,1,1,0,0,1,-2,-1
"25","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,2,-2,-1,-2,1,1,2,1,1,-1,-1,1
"26","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,1,-1,-2,-2,1,-1,1,-2,-1,1,-1,2
"27","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,1,-1,-2,-1,2,-1,0,1,2,0,1,2
"28","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",1,-2,-2,0,0,0,-1,2,-1,-2,2,-2,2
"29","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",1,-1,-1,-1,-1,1,1,1,1,-2,1,-1,1
"30","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,0,0,0,-2,-1,-1,1,1,-1,1,-2,0
"31","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,1,-1,0,0,2,-1,2,0,1,1,-1,0
"32","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",0,-1,0,-2,0,0,-1,0,-1,-1,1,-2,2
"33","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",0,2,-1,-1,-1,0,1,1,1,1,0,0,0
"34","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,2,-2,-2,-1,2,-1,1,1,-2,1,0,1
"35","S013","Fear","female",23,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-1,2,-2,-2,-2,2,1,1,2,1,-1,-1,2
